Single Image Frame,x00,y00,z00,x01,y01,z01,x02,y02,z02,x03,y03,z03,x04,y04,z04,x05,y05,z05,x06,y06,z06,x07,y07,z07,x08,y08,z08,x09,y09,z09,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,Label
F://Sign 16//Input Images//Sign 16 - Sample (1).jpg,0.43049025535583496,0.7435871362686157,-0.00017578773258719593,0.3472513258457184,0.6521947979927063,-0.07513022422790527,0.29254472255706787,0.5300959348678589,-0.12104932218790054,0.27700075507164,0.41685497760772705,-0.1622670292854309,0.331566721200943,0.3594098687171936,-0.19101202487945557,0.4353039860725403,0.38628655672073364,-0.004959786776453257,0.4407530725002289,0.2598080039024353,-0.06396682560443878,0.42796891927719116,0.24000699818134308,-0.14974549412727356,0.4123050570487976,0.2846994400024414,-0.21166424453258514,0.4992891848087311,0.4007861316204071,-0.0022270868066698313,0.5531032085418701,0.2559564709663391,-0.07744962722063065,0.5387600064277649,0.2589317560195923,-0.1782417744398117,0.5091948509216309,0.3237457275390625,-0.23972953855991364,0.5506683588027954,0.4431276023387909,-0.0162272360175848,0.6103718280792236,0.32293960452079773,-0.07778310030698776,0.5893979668617249,0.3266572654247284,-0.1620786190032959,0.5519415736198425,0.3777208924293518,-0.20673872530460358,0.5950659513473511,0.5033098459243774,-0.0316619947552681,0.6574002504348755,0.4232732057571411,-0.09334486722946167,0.6462343335151672,0.40147238969802856,-0.15294960141181946,0.6106041669845581,0.42242035269737244,-0.18787620961666107,16
F://Sign 16//Input Images//Sign 16 - Sample (2).jpg,0.43151989579200745,0.7551838755607605,-0.00018400480621494353,0.3487494885921478,0.6645815372467041,-0.06723617762327194,0.2950015664100647,0.5419936776161194,-0.10595521330833435,0.2805824875831604,0.4285557270050049,-0.14173991978168488,0.3336305022239685,0.37232720851898193,-0.16532614827156067,0.4372703731060028,0.40801650285720825,0.00763417175039649,0.4418522119522095,0.2853638231754303,-0.04443248733878136,0.43102675676345825,0.2598520517349243,-0.12384229153394699,0.4171445965766907,0.29681727290153503,-0.18358373641967773,0.4981392025947571,0.4226289391517639,0.00800831988453865,0.5500093698501587,0.28072410821914673,-0.06162217631936073,0.5365256667137146,0.28110766410827637,-0.1611984819173813,0.5083837509155273,0.3430970013141632,-0.22221161425113678,0.5482826232910156,0.46423232555389404,-0.007663204800337553,0.6060476303100586,0.34701666235923767,-0.06455834954977036,0.5881531238555908,0.34792816638946533,-0.1484738439321518,0.553799569606781,0.3949049711227417,-0.1937086433172226,0.5918430089950562,0.523383617401123,-0.024678010493516922,0.6536189913749695,0.44511929154396057,-0.0818759948015213,0.6449378132820129,0.42217880487442017,-0.14081835746765137,0.6112510561943054,0.44073596596717834,-0.1750931292772293,16
F://Sign 16//Input Images//Sign 16 - Sample (3).jpg,0.4326232373714447,0.7499129772186279,-0.00015688745770603418,0.35076093673706055,0.6585995554924011,-0.06984648108482361,0.29878363013267517,0.5375607013702393,-0.10929363965988159,0.2850872278213501,0.42522963881492615,-0.14493897557258606,0.3384779095649719,0.3672248125076294,-0.16828761994838715,0.44105350971221924,0.40019914507865906,0.008670970797538757,0.44789206981658936,0.27499285340309143,-0.04796513542532921,0.434198260307312,0.2562546133995056,-0.13471302390098572,0.4173087179660797,0.3006224036216736,-0.19772055745124817,0.5037411451339722,0.4157837927341461,0.01133112981915474,0.5572182536125183,0.2744576334953308,-0.05751635879278183,0.5432024002075195,0.27184537053108215,-0.1571451872587204,0.512451708316803,0.3319665193557739,-0.21918994188308716,0.5539348125457764,0.4578457176685333,-0.002688091713935137,0.6131163239479065,0.3409408628940582,-0.06017268821597099,0.5924137830734253,0.3437463939189911,-0.14241018891334534,0.5542446970939636,0.3933243751525879,-0.18630382418632507,0.5972303748130798,0.5172940492630005,-0.017811071127653122,0.6583390235900879,0.4396103620529175,-0.07568492740392685,0.648439884185791,0.41634121537208557,-0.13135500252246857,0.6135861277580261,0.43474316596984863,-0.16336168348789215,16
F://Sign 16//Input Images//Sign 16 - Sample (4).jpg,0.4292644262313843,0.7535879611968994,-0.00017169058264698833,0.3474021553993225,0.6639285087585449,-0.07073170691728592,0.29480019211769104,0.5418890714645386,-0.11167854815721512,0.28043726086616516,0.42873015999794006,-0.14872492849826813,0.33423155546188354,0.37273144721984863,-0.17369365692138672,0.43562862277030945,0.40654927492141724,0.003357855137437582,0.4424942135810852,0.28153133392333984,-0.05336059629917145,0.4303525984287262,0.2642134428024292,-0.13599306344985962,0.41432714462280273,0.3083746135234833,-0.19553887844085693,0.49741479754447937,0.4217219948768616,0.005785474553704262,0.5502378940582275,0.28001242876052856,-0.06515567004680634,0.5363342761993408,0.28286856412887573,-0.16267459094524384,0.5065597295761108,0.3445221483707428,-0.2216225266456604,0.5474759340286255,0.46302923560142517,-0.008443220518529415,0.6058623790740967,0.34601497650146484,-0.06733676791191101,0.5855571627616882,0.3511132299900055,-0.14717283844947815,0.5486730337142944,0.40054193139076233,-0.1890866905450821,0.5906185507774353,0.5215497612953186,-0.023768845945596695,0.6513740420341492,0.44323086738586426,-0.0816793367266655,0.6409794688224792,0.42239147424697876,-0.1371307522058487,0.6061534881591797,0.44229719042778015,-0.16910581290721893,16
F://Sign 16//Input Images//Sign 16 - Sample (5).jpg,0.4355495274066925,0.7530368566513062,-0.00019345498003531247,0.35095834732055664,0.6598879098892212,-0.06552024185657501,0.29512453079223633,0.5349676012992859,-0.10151544958353043,0.2807067036628723,0.4192467927932739,-0.13436199724674225,0.33654242753982544,0.36414381861686707,-0.15328346192836761,0.4397289752960205,0.3999612629413605,0.013277976773679256,0.44409945607185364,0.2742348313331604,-0.03697710856795311,0.43289369344711304,0.2506399154663086,-0.11605673283338547,0.41868340969085693,0.2895904779434204,-0.17553386092185974,0.5027819871902466,0.41416358947753906,0.014427761547267437,0.556186318397522,0.27073556184768677,-0.053092606365680695,0.5446339249610901,0.2696000933647156,-0.15117114782333374,0.5170163512229919,0.3306941092014313,-0.21216221153736115,0.5537854433059692,0.4555973410606384,-0.0009993374114856124,0.6131588220596313,0.3395308554172516,-0.056499939411878586,0.5962018966674805,0.339302122592926,-0.138699471950531,0.5617744326591492,0.3855050206184387,-0.18307240307331085,0.597597599029541,0.5144543051719666,-0.017384622246026993,0.6607252955436707,0.4387514591217041,-0.07360099256038666,0.6522147059440613,0.4156498610973358,-0.13026687502861023,0.6187981963157654,0.4332188069820404,-0.16307182610034943,16
F://Sign 16//Input Images//Sign 16 - Sample (6).jpg,0.4357064366340637,0.7533493638038635,-0.0001908078120322898,0.35253214836120605,0.659050464630127,-0.06767995655536652,0.29774361848831177,0.5364842414855957,-0.10787486284971237,0.2822725176811218,0.4229966998100281,-0.1461251825094223,0.3361070156097412,0.36511483788490295,-0.17159631848335266,0.4418981373310089,0.39900898933410645,0.00854391511529684,0.4461173415184021,0.27367597818374634,-0.04725208878517151,0.43311643600463867,0.2521551847457886,-0.12956741452217102,0.4179328382015228,0.292263388633728,-0.1900492012500763,0.5040299296379089,0.4134369194507599,0.008341490291059017,0.5578719973564148,0.2693878412246704,-0.06421579420566559,0.5423507690429688,0.27224791049957275,-0.16439251601696014,0.5123014450073242,0.3350849747657776,-0.2258443981409073,0.5549948215484619,0.4549429714679718,-0.008387433364987373,0.614849328994751,0.33640146255493164,-0.0671948492527008,0.5935990810394287,0.33962947130203247,-0.15045218169689178,0.5562812089920044,0.3880830705165863,-0.19450731575489044,0.599727213382721,0.5141741037368774,-0.026330985128879547,0.6629557013511658,0.43539291620254517,-0.08430247008800507,0.6500914096832275,0.41293632984161377,-0.14255011081695557,0.6125078797340393,0.4317695200443268,-0.1761835813522339,16
F://Sign 16//Input Images//Sign 16 - Sample (7).jpg,0.4389636814594269,0.7478216886520386,-0.0001632759376661852,0.3563145399093628,0.6537002325057983,-0.07199230045080185,0.30202654004096985,0.5310384035110474,-0.11689677089452744,0.2868680953979492,0.41854721307754517,-0.15847443044185638,0.3415674567222595,0.36370447278022766,-0.18717654049396515,0.44481319189071655,0.3925503194332123,-0.003616287373006344,0.451212078332901,0.2627415657043457,-0.06538897752761841,0.4356624484062195,0.24640551209449768,-0.15169763565063477,0.4180174767971039,0.2932291030883789,-0.21254773437976837,0.5093842148780823,0.4082176387310028,-0.0031802880112081766,0.5653232336044312,0.2638095021247864,-0.08112815022468567,0.5481600165367126,0.2645057439804077,-0.18071408569812775,0.5159408450126648,0.3270125389099121,-0.2407989203929901,0.5606592297554016,0.45126599073410034,-0.019643770530819893,0.6227494478225708,0.33246147632598877,-0.08363906294107437,0.5985816717147827,0.33651816844940186,-0.16605429351329803,0.5582886338233948,0.38724440336227417,-0.2088954597711563,0.6054291725158691,0.5121915936470032,-0.03713415190577507,0.6690654158592224,0.43433570861816406,-0.09974481165409088,0.6547090411186218,0.4139920473098755,-0.1579701155424118,0.616344153881073,0.4349096119403839,-0.19169381260871887,16
F://Sign 16//Input Images//Sign 16 - Sample (8).jpg,0.4385579526424408,0.7548536062240601,-0.0001934893080033362,0.35350048542022705,0.6630796194076538,-0.0680776983499527,0.2990702986717224,0.5432054996490479,-0.10877902060747147,0.28398072719573975,0.4332551658153534,-0.14706890285015106,0.3392525911331177,0.3793104887008667,-0.173813134431839,0.4412720501422882,0.39943787455558777,0.007437520194798708,0.44864141941070557,0.2709191143512726,-0.0505337119102478,0.4350239336490631,0.24807336926460266,-0.13776648044586182,0.418727308511734,0.2892821431159973,-0.20077578723430634,0.5043430328369141,0.41503506898880005,0.007246525026857853,0.5584486722946167,0.2685556411743164,-0.06565840542316437,0.5426856279373169,0.2675897479057312,-0.16984936594963074,0.5119853019714355,0.32969963550567627,-0.23312678933143616,0.5558451414108276,0.45794984698295593,-0.00905524380505085,0.6162436604499817,0.3379397690296173,-0.06824066489934921,0.5961800813674927,0.3391523063182831,-0.15315791964530945,0.558824896812439,0.38739317655563354,-0.19839847087860107,0.6011767983436584,0.5186179876327515,-0.026678480207920074,0.6637309789657593,0.4392865300178528,-0.08549337089061737,0.6523940563201904,0.4184194505214691,-0.144072487950325,0.6160440444946289,0.4372466504573822,-0.17800778150558472,16
F://Sign 16//Input Images//Sign 16 - Sample (9).jpg,0.437030166387558,0.7470752596855164,-0.00015287974383682013,0.3527093231678009,0.6557885408401489,-0.07905048131942749,0.29900699853897095,0.5325149297714233,-0.12558509409427643,0.28560417890548706,0.4178291857242584,-0.1664402335882187,0.33959850668907166,0.35936659574508667,-0.19456541538238525,0.43954581022262573,0.389737993478775,-0.00857128668576479,0.4458622932434082,0.2609260082244873,-0.07330462336540222,0.43226656317710876,0.24431242048740387,-0.16379734873771667,0.41463372111320496,0.2923034727573395,-0.22749534249305725,0.5054370760917664,0.40559786558151245,-0.003949000965803862,0.5596188902854919,0.26066237688064575,-0.08191082626581192,0.546440064907074,0.25836271047592163,-0.18405523896217346,0.5149796009063721,0.3201463222503662,-0.24686561524868011,0.5579596161842346,0.449576199054718,-0.016634982079267502,0.6171804666519165,0.32979851961135864,-0.0832647755742073,0.5958826541900635,0.33441561460494995,-0.16919323801994324,0.5557109713554382,0.3860815763473511,-0.21535250544548035,0.6033144593238831,0.5113039612770081,-0.030479587614536285,0.6646753549575806,0.4328974485397339,-0.0944790467619896,0.6551254987716675,0.4101688265800476,-0.15299183130264282,0.6198679208755493,0.42976588010787964,-0.18720309436321259,16
F://Sign 16//Input Images//Sign 16 - Sample (10).jpg,0.42989370226860046,0.7489893436431885,-0.00018439973064232618,0.34461772441864014,0.6592806577682495,-0.07605410367250443,0.2895827293395996,0.5359516143798828,-0.1209213137626648,0.2750478982925415,0.42120257019996643,-0.16071641445159912,0.329565167427063,0.36406996846199036,-0.18828840553760529,0.42975327372550964,0.38925984501838684,0.0013333255192264915,0.43474602699279785,0.26359111070632935,-0.055422525852918625,0.4234389364719391,0.2437049001455307,-0.14127959311008453,0.4093570113182068,0.287096232175827,-0.20419932901859283,0.4938856065273285,0.40397122502326965,0.005190558265894651,0.5471097230911255,0.2598452866077423,-0.06829538196325302,0.535538911819458,0.2632971405982971,-0.17083145678043365,0.5082226991653442,0.327994704246521,-0.232461616396904,0.545391321182251,0.4464097321033478,-0.008099209517240524,0.60398268699646,0.3285716772079468,-0.06898029893636703,0.5864253640174866,0.3319995403289795,-0.15549570322036743,0.5518066883087158,0.38146141171455383,-0.20166729390621185,0.5896852612495422,0.5061236023902893,-0.023088056594133377,0.6510764360427856,0.4281872510910034,-0.08338187634944916,0.6435486674308777,0.40790078043937683,-0.14312860369682312,0.6118243336677551,0.42864054441452026,-0.17792485654354095,16
