Single Image Frame,x00,y00,z00,x01,y01,z01,x02,y02,z02,x03,y03,z03,x04,y04,z04,x05,y05,z05,x06,y06,z06,x07,y07,z07,x08,y08,z08,x09,y09,z09,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,Label
"D:\DataSet (From Rayeed)\User - Rayeed (Male, 23) - Sign Letters\Sign 04 - Ree\Sign 04 - Sample (1).jpg",0.513466537,0.74206388,-9.37E-05,0.446224719,0.704176903,-0.061025005,0.412584484,0.612796664,-0.11836122,0.454632223,0.542824686,-0.174556077,0.513753176,0.517314315,-0.220636964,0.435363948,0.467569828,-0.037996527,0.446125507,0.352435768,-0.075640976,0.461419731,0.277816385,-0.104683176,0.48048237,0.214464381,-0.122965507,0.483438939,0.463484913,-0.051814977,0.464322686,0.339764118,-0.093900315,0.457581162,0.263190359,-0.126984611,0.456980228,0.202078879,-0.149046645,0.529671252,0.494993478,-0.073950894,0.548458099,0.409659982,-0.15707244,0.534521163,0.492058903,-0.188201889,0.522512913,0.557254314,-0.181436196,0.572818458,0.549517751,-0.098003611,0.587218761,0.493948936,-0.174520388,0.567188799,0.547052622,-0.196468428,0.5489133,0.593157887,-0.187569067,4
"D:\DataSet (From Rayeed)\User - Rayeed (Male, 23) - Sign Letters\Sign 04 - Ree\Sign 04 - Sample (2).jpg",0.51275593,0.73772794,-0.000131232,0.44606486,0.711124122,-0.066529356,0.418732345,0.620096207,-0.119561233,0.474433422,0.561732233,-0.163236022,0.534497738,0.548482358,-0.188833207,0.442775905,0.486230046,-0.033418875,0.459176779,0.381027818,-0.075578697,0.479547679,0.310577571,-0.108276263,0.503350496,0.250520021,-0.129723728,0.490905702,0.478925347,-0.038290821,0.474823684,0.368760407,-0.084964305,0.473519534,0.295845926,-0.113143288,0.475595206,0.237139195,-0.122902326,0.536924183,0.506966174,-0.053720724,0.558683455,0.420862794,-0.126856565,0.551882446,0.495245665,-0.159568056,0.54431349,0.555050135,-0.153746665,0.579378486,0.558312058,-0.072644979,0.595522404,0.508064568,-0.145014033,0.582119405,0.558189392,-0.168200448,0.569087803,0.601573884,-0.158619881,4
"D:\DataSet (From Rayeed)\User - Rayeed (Male, 23) - Sign Letters\Sign 04 - Ree\Sign 04 - Sample (3).jpg",0.508031487,0.740013719,-9.08E-05,0.442113608,0.722495615,-0.075699233,0.412590414,0.629542589,-0.125075862,0.464173764,0.565584898,-0.165971041,0.52016449,0.545159757,-0.193098694,0.442889422,0.487979084,-0.033134319,0.459992588,0.382072866,-0.071998961,0.480702281,0.309235454,-0.102137648,0.505436361,0.2475591,-0.118469164,0.4895612,0.480373323,-0.037406035,0.477094144,0.371725589,-0.078299232,0.477372617,0.294495165,-0.103665173,0.480155051,0.233821452,-0.109874137,0.53402555,0.507305145,-0.053965144,0.555640221,0.417467415,-0.138560608,0.548012972,0.490063608,-0.188471258,0.537483692,0.554298162,-0.187786356,0.575867534,0.558067441,-0.074745037,0.59433198,0.502319753,-0.158599913,0.582791865,0.549649775,-0.193456113,0.568763554,0.596693099,-0.190568492,4
"D:\DataSet (From Rayeed)\User - Rayeed (Male, 23) - Sign Letters\Sign 04 - Ree\Sign 04 - Sample (4).jpg",0.508031487,0.740013719,-9.08E-05,0.442113608,0.722495615,-0.075699233,0.412590414,0.629542589,-0.125075862,0.464173764,0.565584898,-0.165971041,0.52016449,0.545159757,-0.193098694,0.442889422,0.487979084,-0.033134319,0.459992588,0.382072866,-0.071998961,0.480702281,0.309235454,-0.102137648,0.505436361,0.2475591,-0.118469164,0.4895612,0.480373323,-0.037406035,0.477094144,0.371725589,-0.078299232,0.477372617,0.294495165,-0.103665173,0.480155051,0.233821452,-0.109874137,0.53402555,0.507305145,-0.053965144,0.555640221,0.417467415,-0.138560608,0.548012972,0.490063608,-0.188471258,0.537483692,0.554298162,-0.187786356,0.575867534,0.558067441,-0.074745037,0.59433198,0.502319753,-0.158599913,0.582791865,0.549649775,-0.193456113,0.568763554,0.596693099,-0.190568492,4
"D:\DataSet (From Rayeed)\User - Rayeed (Male, 23) - Sign Letters\Sign 04 - Ree\Sign 04 - Sample (5).jpg",0.506004512,0.721344709,-7.35E-05,0.445896626,0.683167338,-0.05498334,0.41937992,0.595896065,-0.106236041,0.465717137,0.531927586,-0.155382767,0.523969531,0.509654403,-0.189655632,0.439269543,0.467396438,-0.031130595,0.450445324,0.357896566,-0.066828161,0.46644485,0.287298918,-0.090787165,0.485409468,0.229116574,-0.104982592,0.48425886,0.463421047,-0.04487339,0.467937648,0.343165755,-0.082985021,0.464744061,0.269240618,-0.111466527,0.467775702,0.213625774,-0.125980988,0.52769202,0.493032277,-0.065599024,0.545218408,0.416312695,-0.138062343,0.53075248,0.493050903,-0.1588438,0.519856632,0.552626193,-0.147147641,0.567131758,0.544287682,-0.087930627,0.581977785,0.492493153,-0.153182551,0.560955167,0.540118277,-0.16806902,0.542976499,0.581631482,-0.15529938,4
"D:\DataSet (From Rayeed)\User - Rayeed (Male, 23) - Sign Letters\Sign 04 - Ree\Sign 04 - Sample (6).jpg",0.506004512,0.721344709,-7.35E-05,0.445896626,0.683167338,-0.05498334,0.41937992,0.595896065,-0.106236041,0.465717137,0.531927586,-0.155382767,0.523969531,0.509654403,-0.189655632,0.439269543,0.467396438,-0.031130595,0.450445324,0.357896566,-0.066828161,0.46644485,0.287298918,-0.090787165,0.485409468,0.229116574,-0.104982592,0.48425886,0.463421047,-0.04487339,0.467937648,0.343165755,-0.082985021,0.464744061,0.269240618,-0.111466527,0.467775702,0.213625774,-0.125980988,0.52769202,0.493032277,-0.065599024,0.545218408,0.416312695,-0.138062343,0.53075248,0.493050903,-0.1588438,0.519856632,0.552626193,-0.147147641,0.567131758,0.544287682,-0.087930627,0.581977785,0.492493153,-0.153182551,0.560955167,0.540118277,-0.16806902,0.542976499,0.581631482,-0.15529938,4
"D:\DataSet (From Rayeed)\User - Rayeed (Male, 23) - Sign Letters\Sign 04 - Ree\Sign 04 - Sample (7).jpg",0.508379877,0.734772205,-9.53E-05,0.442347288,0.690013409,-0.054934911,0.413887501,0.596188128,-0.103191771,0.464494288,0.53155154,-0.148006931,0.52577424,0.517343223,-0.177591369,0.437576294,0.465024859,-0.028037617,0.449224681,0.352844536,-0.063248947,0.464569032,0.281440139,-0.086349003,0.483080238,0.220701203,-0.100959904,0.485165775,0.463539928,-0.039503131,0.471762329,0.339999676,-0.077672757,0.468933135,0.267267048,-0.107570142,0.470028728,0.213282198,-0.124506861,0.529647827,0.495833039,-0.058650441,0.550043523,0.41586256,-0.131946087,0.535140634,0.495143741,-0.153591648,0.522938132,0.557632148,-0.141557992,0.570109963,0.550370514,-0.080285199,0.586597025,0.496787727,-0.146753788,0.565334797,0.547179043,-0.16263707,0.545884609,0.590299964,-0.149107665,4
"D:\DataSet (From Rayeed)\User - Rayeed (Male, 23) - Sign Letters\Sign 04 - Ree\Sign 04 - Sample (8).jpg",0.508379877,0.734772205,-9.53E-05,0.442347288,0.690013409,-0.054934911,0.413887501,0.596188128,-0.103191771,0.464494288,0.53155154,-0.148006931,0.52577424,0.517343223,-0.177591369,0.437576294,0.465024859,-0.028037617,0.449224681,0.352844536,-0.063248947,0.464569032,0.281440139,-0.086349003,0.483080238,0.220701203,-0.100959904,0.485165775,0.463539928,-0.039503131,0.471762329,0.339999676,-0.077672757,0.468933135,0.267267048,-0.107570142,0.470028728,0.213282198,-0.124506861,0.529647827,0.495833039,-0.058650441,0.550043523,0.41586256,-0.131946087,0.535140634,0.495143741,-0.153591648,0.522938132,0.557632148,-0.141557992,0.570109963,0.550370514,-0.080285199,0.586597025,0.496787727,-0.146753788,0.565334797,0.547179043,-0.16263707,0.545884609,0.590299964,-0.149107665,4
"D:\DataSet (From Rayeed)\User - Rayeed (Male, 23) - Sign Letters\Sign 04 - Ree\Sign 04 - Sample (9).jpg",0.513466537,0.74206388,-9.37E-05,0.446224719,0.704176903,-0.061025005,0.412584484,0.612796664,-0.11836122,0.454632223,0.542824686,-0.174556077,0.513753176,0.517314315,-0.220636964,0.435363948,0.467569828,-0.037996527,0.446125507,0.352435768,-0.075640976,0.461419731,0.277816385,-0.104683176,0.48048237,0.214464381,-0.122965507,0.483438939,0.463484913,-0.051814977,0.464322686,0.339764118,-0.093900315,0.457581162,0.263190359,-0.126984611,0.456980228,0.202078879,-0.149046645,0.529671252,0.494993478,-0.073950894,0.548458099,0.409659982,-0.15707244,0.534521163,0.492058903,-0.188201889,0.522512913,0.557254314,-0.181436196,0.572818458,0.549517751,-0.098003611,0.587218761,0.493948936,-0.174520388,0.567188799,0.547052622,-0.196468428,0.5489133,0.593157887,-0.187569067,4
"D:\DataSet (From Rayeed)\User - Rayeed (Male, 23) - Sign Letters\Sign 04 - Ree\Sign 04 - Sample (10).jpg",0.513466537,0.74206388,-9.37E-05,0.446224719,0.704176903,-0.061025005,0.412584484,0.612796664,-0.11836122,0.454632223,0.542824686,-0.174556077,0.513753176,0.517314315,-0.220636964,0.435363948,0.467569828,-0.037996527,0.446125507,0.352435768,-0.075640976,0.461419731,0.277816385,-0.104683176,0.48048237,0.214464381,-0.122965507,0.483438939,0.463484913,-0.051814977,0.464322686,0.339764118,-0.093900315,0.457581162,0.263190359,-0.126984611,0.456980228,0.202078879,-0.149046645,0.529671252,0.494993478,-0.073950894,0.548458099,0.409659982,-0.15707244,0.534521163,0.492058903,-0.188201889,0.522512913,0.557254314,-0.181436196,0.572818458,0.549517751,-0.098003611,0.587218761,0.493948936,-0.174520388,0.567188799,0.547052622,-0.196468428,0.5489133,0.593157887,-0.187569067,4
"D:\DataSet (From Rayeed)\User - Rayeed (Male, 23) - Sign Letters\Sign 04 - Ree\Sign 04 - Sample (11).jpg",0.51275593,0.73772794,-0.000131232,0.44606486,0.711124122,-0.066529356,0.418732345,0.620096207,-0.119561233,0.474433422,0.561732233,-0.163236022,0.534497738,0.548482358,-0.188833207,0.442775905,0.486230046,-0.033418875,0.459176779,0.381027818,-0.075578697,0.479547679,0.310577571,-0.108276263,0.503350496,0.250520021,-0.129723728,0.490905702,0.478925347,-0.038290821,0.474823684,0.368760407,-0.084964305,0.473519534,0.295845926,-0.113143288,0.475595206,0.237139195,-0.122902326,0.536924183,0.506966174,-0.053720724,0.558683455,0.420862794,-0.126856565,0.551882446,0.495245665,-0.159568056,0.54431349,0.555050135,-0.153746665,0.579378486,0.558312058,-0.072644979,0.595522404,0.508064568,-0.145014033,0.582119405,0.558189392,-0.168200448,0.569087803,0.601573884,-0.158619881,4
"D:\DataSet (From Rayeed)\User - Rayeed (Male, 23) - Sign Letters\Sign 04 - Ree\Sign 04 - Sample (12).jpg",0.51275593,0.73772794,-0.000131232,0.44606486,0.711124122,-0.066529356,0.418732345,0.620096207,-0.119561233,0.474433422,0.561732233,-0.163236022,0.534497738,0.548482358,-0.188833207,0.442775905,0.486230046,-0.033418875,0.459176779,0.381027818,-0.075578697,0.479547679,0.310577571,-0.108276263,0.503350496,0.250520021,-0.129723728,0.490905702,0.478925347,-0.038290821,0.474823684,0.368760407,-0.084964305,0.473519534,0.295845926,-0.113143288,0.475595206,0.237139195,-0.122902326,0.536924183,0.506966174,-0.053720724,0.558683455,0.420862794,-0.126856565,0.551882446,0.495245665,-0.159568056,0.54431349,0.555050135,-0.153746665,0.579378486,0.558312058,-0.072644979,0.595522404,0.508064568,-0.145014033,0.582119405,0.558189392,-0.168200448,0.569087803,0.601573884,-0.158619881,4
"D:\DataSet (From Rayeed)\User - Rayeed (Male, 23) - Sign Letters\Sign 04 - Ree\Sign 04 - Sample (13).jpg",0.51275593,0.73772794,-0.000131232,0.44606486,0.711124122,-0.066529356,0.418732345,0.620096207,-0.119561233,0.474433422,0.561732233,-0.163236022,0.534497738,0.548482358,-0.188833207,0.442775905,0.486230046,-0.033418875,0.459176779,0.381027818,-0.075578697,0.479547679,0.310577571,-0.108276263,0.503350496,0.250520021,-0.129723728,0.490905702,0.478925347,-0.038290821,0.474823684,0.368760407,-0.084964305,0.473519534,0.295845926,-0.113143288,0.475595206,0.237139195,-0.122902326,0.536924183,0.506966174,-0.053720724,0.558683455,0.420862794,-0.126856565,0.551882446,0.495245665,-0.159568056,0.54431349,0.555050135,-0.153746665,0.579378486,0.558312058,-0.072644979,0.595522404,0.508064568,-0.145014033,0.582119405,0.558189392,-0.168200448,0.569087803,0.601573884,-0.158619881,4
"D:\DataSet (From Rayeed)\User - Rayeed (Male, 23) - Sign Letters\Sign 04 - Ree\Sign 04 - Sample (14).jpg",0.508031487,0.740013719,-9.08E-05,0.442113608,0.722495615,-0.075699233,0.412590414,0.629542589,-0.125075862,0.464173764,0.565584898,-0.165971041,0.52016449,0.545159757,-0.193098694,0.442889422,0.487979084,-0.033134319,0.459992588,0.382072866,-0.071998961,0.480702281,0.309235454,-0.102137648,0.505436361,0.2475591,-0.118469164,0.4895612,0.480373323,-0.037406035,0.477094144,0.371725589,-0.078299232,0.477372617,0.294495165,-0.103665173,0.480155051,0.233821452,-0.109874137,0.53402555,0.507305145,-0.053965144,0.555640221,0.417467415,-0.138560608,0.548012972,0.490063608,-0.188471258,0.537483692,0.554298162,-0.187786356,0.575867534,0.558067441,-0.074745037,0.59433198,0.502319753,-0.158599913,0.582791865,0.549649775,-0.193456113,0.568763554,0.596693099,-0.190568492,4
"D:\DataSet (From Rayeed)\User - Rayeed (Male, 23) - Sign Letters\Sign 04 - Ree\Sign 04 - Sample (15).jpg",0.508031487,0.740013719,-9.08E-05,0.442113608,0.722495615,-0.075699233,0.412590414,0.629542589,-0.125075862,0.464173764,0.565584898,-0.165971041,0.52016449,0.545159757,-0.193098694,0.442889422,0.487979084,-0.033134319,0.459992588,0.382072866,-0.071998961,0.480702281,0.309235454,-0.102137648,0.505436361,0.2475591,-0.118469164,0.4895612,0.480373323,-0.037406035,0.477094144,0.371725589,-0.078299232,0.477372617,0.294495165,-0.103665173,0.480155051,0.233821452,-0.109874137,0.53402555,0.507305145,-0.053965144,0.555640221,0.417467415,-0.138560608,0.548012972,0.490063608,-0.188471258,0.537483692,0.554298162,-0.187786356,0.575867534,0.558067441,-0.074745037,0.59433198,0.502319753,-0.158599913,0.582791865,0.549649775,-0.193456113,0.568763554,0.596693099,-0.190568492,4
"D:\DataSet (From Rayeed)\User - Rayeed (Male, 23) - Sign Letters\Sign 04 - Ree\Sign 04 - Sample (16).jpg",0.506004512,0.721344709,-7.35E-05,0.445896626,0.683167338,-0.05498334,0.41937992,0.595896065,-0.106236041,0.465717137,0.531927586,-0.155382767,0.523969531,0.509654403,-0.189655632,0.439269543,0.467396438,-0.031130595,0.450445324,0.357896566,-0.066828161,0.46644485,0.287298918,-0.090787165,0.485409468,0.229116574,-0.104982592,0.48425886,0.463421047,-0.04487339,0.467937648,0.343165755,-0.082985021,0.464744061,0.269240618,-0.111466527,0.467775702,0.213625774,-0.125980988,0.52769202,0.493032277,-0.065599024,0.545218408,0.416312695,-0.138062343,0.53075248,0.493050903,-0.1588438,0.519856632,0.552626193,-0.147147641,0.567131758,0.544287682,-0.087930627,0.581977785,0.492493153,-0.153182551,0.560955167,0.540118277,-0.16806902,0.542976499,0.581631482,-0.15529938,4
"D:\DataSet (From Rayeed)\User - Rayeed (Male, 23) - Sign Letters\Sign 04 - Ree\Sign 04 - Sample (17).jpg",0.506004512,0.721344709,-7.35E-05,0.445896626,0.683167338,-0.05498334,0.41937992,0.595896065,-0.106236041,0.465717137,0.531927586,-0.155382767,0.523969531,0.509654403,-0.189655632,0.439269543,0.467396438,-0.031130595,0.450445324,0.357896566,-0.066828161,0.46644485,0.287298918,-0.090787165,0.485409468,0.229116574,-0.104982592,0.48425886,0.463421047,-0.04487339,0.467937648,0.343165755,-0.082985021,0.464744061,0.269240618,-0.111466527,0.467775702,0.213625774,-0.125980988,0.52769202,0.493032277,-0.065599024,0.545218408,0.416312695,-0.138062343,0.53075248,0.493050903,-0.1588438,0.519856632,0.552626193,-0.147147641,0.567131758,0.544287682,-0.087930627,0.581977785,0.492493153,-0.153182551,0.560955167,0.540118277,-0.16806902,0.542976499,0.581631482,-0.15529938,4
