Single Image Frame,x00,y00,z00,x01,y01,z01,x02,y02,z02,x03,y03,z03,x04,y04,z04,x05,y05,z05,x06,y06,z06,x07,y07,z07,x08,y08,z08,x09,y09,z09,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,Label
"D:\DataSet (From Rayeed)\User - Hridi (Female, 19) - Sign Letters\Sign 20 - Ttha\Sign 20 - Sample (1).jpg",0.587695837,0.7894595861,-0.000175397523,0.5180179477,0.699247241,-0.02459028363,0.480666697,0.5459259748,-0.01438381243,0.4872008562,0.4357062876,-0.009368166327,0.503887713,0.3518123031,0.01020027976,0.5686746836,0.463040024,0.04966890067,0.5444002151,0.3256019652,-0.0004795321147,0.5233724117,0.2520139515,-0.04120346904,0.5072412491,0.1836572886,-0.07117796689,0.6231893897,0.4843407571,0.02995083667,0.5842843652,0.3911116123,-0.07667819411,0.5555362701,0.51639992,-0.08705211431,0.5591994524,0.6048322916,-0.05578861013,0.6727345586,0.5244474411,-0.008737595752,0.6221553087,0.4564899802,-0.126468882,0.5948847532,0.5876508355,-0.1124766767,0.6040617228,0.6721551418,-0.07049736381,0.7222790718,0.5754114985,-0.04887457564,0.6728484035,0.5018091798,-0.1266672909,0.6384468675,0.583137393,-0.1134085357,0.64346838,0.6472035646,-0.08598706871,20
"D:\DataSet (From Rayeed)\User - Hridi (Female, 19) - Sign Letters\Sign 20 - Ttha\Sign 20 - Sample (2).jpg",0.6149991155,0.7635220289,-0.000175254012,0.5427953601,0.6759995222,-0.02274767868,0.4972828627,0.5225614309,-0.007455573417,0.495131135,0.4076994658,0.003931319807,0.5173460245,0.331466794,0.0321848169,0.5820697546,0.4417719543,0.05402304232,0.555737555,0.3019503355,0.005754218902,0.5354696512,0.2271268219,-0.03575782105,0.5192728043,0.1611352563,-0.07005351782,0.6365754604,0.4607221484,0.03737898171,0.6053741574,0.3578804135,-0.06204245985,0.580619216,0.4825419486,-0.06865379959,0.5833742023,0.5751386285,-0.03778361902,0.68751055,0.4983399212,0.00300591928,0.6494467854,0.4155228734,-0.1150596142,0.6239196658,0.5437768102,-0.1070719361,0.6303517222,0.6292428374,-0.06890971214,0.738283515,0.5451316833,-0.03193332627,0.6948273182,0.4723318517,-0.1189597622,0.6633437276,0.5556878448,-0.1131802052,0.6664515734,0.6199688315,-0.08846536279,20
"D:\DataSet (From Rayeed)\User - Hridi (Female, 19) - Sign Letters\Sign 20 - Ttha\Sign 20 - Sample (3).jpg",0.5946213603,0.7727937698,-0.0001875725866,0.523358047,0.673820138,-0.02783834189,0.4874221385,0.5155438185,-0.02191553824,0.4921689034,0.4002572,-0.01859922335,0.5115379691,0.3153675795,0.005175733007,0.5775468349,0.4317495823,0.03726499528,0.5561220646,0.288590014,-0.02651171945,0.5331507325,0.215536654,-0.07283806056,0.5156807899,0.1519460082,-0.1050405875,0.6315984726,0.4594573677,0.0183216352,0.5960181355,0.3601906002,-0.09895789623,0.5644811988,0.4939760268,-0.1009421274,0.5682065487,0.5806331635,-0.06259953976,0.6796290874,0.5044184327,-0.0206725318,0.6356461048,0.4252637923,-0.1460443586,0.6051303744,0.5598037243,-0.1201025918,0.6154077053,0.6408919096,-0.07058874518,0.72701478,0.5584715605,-0.06190084666,0.6815864444,0.4830643237,-0.1467550844,0.6454758048,0.5697168112,-0.1289236695,0.6505147815,0.6324878335,-0.09772899002,20
"D:\DataSet (From Rayeed)\User - Hridi (Female, 19) - Sign Letters\Sign 20 - Ttha\Sign 20 - Sample (4).jpg",0.5946213603,0.7727937698,-0.0001875725866,0.523358047,0.673820138,-0.02783834189,0.4874221385,0.5155438185,-0.02191553824,0.4921689034,0.4002572,-0.01859922335,0.5115379691,0.3153675795,0.005175733007,0.5775468349,0.4317495823,0.03726499528,0.5561220646,0.288590014,-0.02651171945,0.5331507325,0.215536654,-0.07283806056,0.5156807899,0.1519460082,-0.1050405875,0.6315984726,0.4594573677,0.0183216352,0.5960181355,0.3601906002,-0.09895789623,0.5644811988,0.4939760268,-0.1009421274,0.5682065487,0.5806331635,-0.06259953976,0.6796290874,0.5044184327,-0.0206725318,0.6356461048,0.4252637923,-0.1460443586,0.6051303744,0.5598037243,-0.1201025918,0.6154077053,0.6408919096,-0.07058874518,0.72701478,0.5584715605,-0.06190084666,0.6815864444,0.4830643237,-0.1467550844,0.6454758048,0.5697168112,-0.1289236695,0.6505147815,0.6324878335,-0.09772899002,20
"D:\DataSet (From Rayeed)\User - Hridi (Female, 19) - Sign Letters\Sign 20 - Ttha\Sign 20 - Sample (5).jpg",0.587695837,0.7894595861,-0.000175397523,0.5180179477,0.699247241,-0.02459028363,0.480666697,0.5459259748,-0.01438381243,0.4872008562,0.4357062876,-0.009368166327,0.503887713,0.3518123031,0.01020027976,0.5686746836,0.463040024,0.04966890067,0.5444002151,0.3256019652,-0.0004795321147,0.5233724117,0.2520139515,-0.04120346904,0.5072412491,0.1836572886,-0.07117796689,0.6231893897,0.4843407571,0.02995083667,0.5842843652,0.3911116123,-0.07667819411,0.5555362701,0.51639992,-0.08705211431,0.5591994524,0.6048322916,-0.05578861013,0.6727345586,0.5244474411,-0.008737595752,0.6221553087,0.4564899802,-0.126468882,0.5948847532,0.5876508355,-0.1124766767,0.6040617228,0.6721551418,-0.07049736381,0.7222790718,0.5754114985,-0.04887457564,0.6728484035,0.5018091798,-0.1266672909,0.6384468675,0.583137393,-0.1134085357,0.64346838,0.6472035646,-0.08598706871,20
"D:\DataSet (From Rayeed)\User - Hridi (Female, 19) - Sign Letters\Sign 20 - Ttha\Sign 20 - Sample (6).jpg",0.587695837,0.7894595861,-0.000175397523,0.5180179477,0.699247241,-0.02459028363,0.480666697,0.5459259748,-0.01438381243,0.4872008562,0.4357062876,-0.009368166327,0.503887713,0.3518123031,0.01020027976,0.5686746836,0.463040024,0.04966890067,0.5444002151,0.3256019652,-0.0004795321147,0.5233724117,0.2520139515,-0.04120346904,0.5072412491,0.1836572886,-0.07117796689,0.6231893897,0.4843407571,0.02995083667,0.5842843652,0.3911116123,-0.07667819411,0.5555362701,0.51639992,-0.08705211431,0.5591994524,0.6048322916,-0.05578861013,0.6727345586,0.5244474411,-0.008737595752,0.6221553087,0.4564899802,-0.126468882,0.5948847532,0.5876508355,-0.1124766767,0.6040617228,0.6721551418,-0.07049736381,0.7222790718,0.5754114985,-0.04887457564,0.6728484035,0.5018091798,-0.1266672909,0.6384468675,0.583137393,-0.1134085357,0.64346838,0.6472035646,-0.08598706871,20
"D:\DataSet (From Rayeed)\User - Hridi (Female, 19) - Sign Letters\Sign 20 - Ttha\Sign 20 - Sample (7).jpg",0.6165174246,0.7610824108,-0.0001944150572,0.5391783714,0.6742444038,-0.02677178942,0.493160814,0.5239570737,-0.01480750833,0.4896506965,0.4098963141,-0.00383241754,0.5067993402,0.3288761973,0.02771672234,0.5768994093,0.4379451871,0.04591889307,0.5511781573,0.2983772457,-0.009797401726,0.5297415257,0.2256911099,-0.05243351683,0.5138615966,0.1609809697,-0.08393732458,0.6316809058,0.4590896964,0.03093370236,0.5985270143,0.3606796265,-0.07920456678,0.5747541785,0.4879382253,-0.08233114332,0.5810087919,0.5747865438,-0.04617195204,0.6826477051,0.4980952442,-0.002932190197,0.6433067918,0.4204621613,-0.1220331118,0.618712604,0.550426662,-0.1032973304,0.6287574172,0.63040483,-0.05929167569,0.7334998846,0.546929419,-0.03833109513,0.6906253099,0.4743832946,-0.1197163835,0.6583557725,0.5594990253,-0.10629756,0.6632505059,0.620639503,-0.07901920378,20
"D:\DataSet (From Rayeed)\User - Hridi (Female, 19) - Sign Letters\Sign 20 - Ttha\Sign 20 - Sample (8).jpg",0.6165174246,0.7610824108,-0.0001944150572,0.5391783714,0.6742444038,-0.02677178942,0.493160814,0.5239570737,-0.01480750833,0.4896506965,0.4098963141,-0.00383241754,0.5067993402,0.3288761973,0.02771672234,0.5768994093,0.4379451871,0.04591889307,0.5511781573,0.2983772457,-0.009797401726,0.5297415257,0.2256911099,-0.05243351683,0.5138615966,0.1609809697,-0.08393732458,0.6316809058,0.4590896964,0.03093370236,0.5985270143,0.3606796265,-0.07920456678,0.5747541785,0.4879382253,-0.08233114332,0.5810087919,0.5747865438,-0.04617195204,0.6826477051,0.4980952442,-0.002932190197,0.6433067918,0.4204621613,-0.1220331118,0.618712604,0.550426662,-0.1032973304,0.6287574172,0.63040483,-0.05929167569,0.7334998846,0.546929419,-0.03833109513,0.6906253099,0.4743832946,-0.1197163835,0.6583557725,0.5594990253,-0.10629756,0.6632505059,0.620639503,-0.07901920378,20
"D:\DataSet (From Rayeed)\User - Hridi (Female, 19) - Sign Letters\Sign 20 - Ttha\Sign 20 - Sample (9).jpg",0.6149991155,0.7635220289,-0.000175254012,0.5427953601,0.6759995222,-0.02274767868,0.4972828627,0.5225614309,-0.007455573417,0.495131135,0.4076994658,0.003931319807,0.5173460245,0.331466794,0.0321848169,0.5820697546,0.4417719543,0.05402304232,0.555737555,0.3019503355,0.005754218902,0.5354696512,0.2271268219,-0.03575782105,0.5192728043,0.1611352563,-0.07005351782,0.6365754604,0.4607221484,0.03737898171,0.6053741574,0.3578804135,-0.06204245985,0.580619216,0.4825419486,-0.06865379959,0.5833742023,0.5751386285,-0.03778361902,0.68751055,0.4983399212,0.00300591928,0.6494467854,0.4155228734,-0.1150596142,0.6239196658,0.5437768102,-0.1070719361,0.6303517222,0.6292428374,-0.06890971214,0.738283515,0.5451316833,-0.03193332627,0.6948273182,0.4723318517,-0.1189597622,0.6633437276,0.5556878448,-0.1131802052,0.6664515734,0.6199688315,-0.08846536279,20
"D:\DataSet (From Rayeed)\User - Hridi (Female, 19) - Sign Letters\Sign 20 - Ttha\Sign 20 - Sample (10).jpg",0.6149991155,0.7635220289,-0.000175254012,0.5427953601,0.6759995222,-0.02274767868,0.4972828627,0.5225614309,-0.007455573417,0.495131135,0.4076994658,0.003931319807,0.5173460245,0.331466794,0.0321848169,0.5820697546,0.4417719543,0.05402304232,0.555737555,0.3019503355,0.005754218902,0.5354696512,0.2271268219,-0.03575782105,0.5192728043,0.1611352563,-0.07005351782,0.6365754604,0.4607221484,0.03737898171,0.6053741574,0.3578804135,-0.06204245985,0.580619216,0.4825419486,-0.06865379959,0.5833742023,0.5751386285,-0.03778361902,0.68751055,0.4983399212,0.00300591928,0.6494467854,0.4155228734,-0.1150596142,0.6239196658,0.5437768102,-0.1070719361,0.6303517222,0.6292428374,-0.06890971214,0.738283515,0.5451316833,-0.03193332627,0.6948273182,0.4723318517,-0.1189597622,0.6633437276,0.5556878448,-0.1131802052,0.6664515734,0.6199688315,-0.08846536279,20
